Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,Release Year,Recession data,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Kingdom of the Spiders,17000000,17000000,,500000,24/08/1977,1977,0,,,,,,,,44,5.7,1463
Pete's Dragon,36000000,36000000,,10000000,03/11/1977,1977,0,,,,,,,,50,6,4620
Close Encounters of the Third Kind,166000000,337700000,,20000000,16/11/1977,1977,0,,,Sony Pictures,Original Screenplay,Adventure,Science Fiction,Steven Spielberg,95,7.8,59049
High Anxiety,31063038,31063038,,3400000,23/12/1977,1977,0,,,,,,,Mel Brooks,73,6.5,7025
Coming Home,32653000,32653000,,3000000,15/02/1978,1978,0,,,,,,,Hal Ashby,81,7.3,4410
F.I.S.T,20388920,20388920,,11000000,13/04/1978,1978,0,,,United Artists,Based on Real Life Events,Drama,Dramatization,Norman Jewison,,6.2,2737
Jaws 2,102922376,208900376,,20000000,16/06/1978,1978,0,PG,,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,,56,5.6,18793
Grease,305260,206005260,21249794,6000000,16/06/1978,1978,0,PG,,Paramount Pictures,Based on Musical/Opera,Musical,Historical Fiction,Randal Kleiser,83,7,60146
National Lampoon's Animal House,141600000,141600000,,3000000,28/07/1978,1978,0,R,,Universal,,,,John Landis,90,,
Caravans,1000000,1000000,,14000000,28/09/1978,1978,0,,,Universal,Based on Book/Short Story,Adventure,Historical Fiction,,,5.8,173
The Boys from Brazil,19000000,19000000,,12000000,05/10/1978,1978,0,,,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,,Franklin J. Schaffner,65,7,8741
Halloween,47000000,70000000,,325000,17/10/1978,1978,0,,,,,Horror,,John Carpenter,93,6,39866
The Wiz,13000000,13000000,,24000000,24/10/1978,1978,0,,,,,Musical,,Sidney Lumet,37,4.5,4896
The Deer Hunter,50000000,50000000,,15000000,08/12/1978,1979,0,,,Universal,Original Screenplay,Drama,,Michael Cimino,,8.2,88095
Superman,134218018,300200000,,55000000,15/12/1978,1978,0,PG,,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,94,4.9,129
Force 10 from Navarone,7100000,7100000,,5000000,22/12/1978,1978,0,,,Sony/Columbia,,Action,,Guy Hamilton,64,6,5917
The First Great Train Robbery,391942,391942,,6000000,02/02/1979,1979,0,,,United Artists,Based on Book/Short Story,Action,,Michael Crichton,,6.9,5141
Dawn of the Dead,5100000,55000000,,1500000,20/04/1979,1979,0,,,United Film Distribution Co.,,Horror,,,,7.4,73875
The Prisoner of Zenda,7000000,7000000,,12500000,25/05/1979,1979,0,,,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,,,4.6,406
Alien,80930630,203630630,,9000000,25/05/1979,1979,0,R,,20th Century Fox,Original Screenplay,Horror,Science Fiction,Ridley Scott,97,8.5,180387
Dolphin,14000,14000,,170000,01/06/1979,1979,0,,,,Based on Real Life Events,Documentary,Factual,,,5.8,134
