Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,Release Year,Recession data,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
K-PAX,50315140,50315140,,48000000,26/10/2001,2001,1,PG-13,121,Universal,Based on Book/Short Story,Drama,Science Fiction,Iain Softley,40,7.3,50475
On the Line,4356743,4356743,,10000000,26/10/2001,2001,1,PG,,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,18,3.4,2617
Le Fabuleux destin d'AmÈlie Poulain,33201661,174201661,,10350000,02/11/2001,2001,0,R,122,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Jean-Pierre Jeunet,,8.5,181085
Domestic Disturbance,45207112,45207112,,53000000,02/11/2001,2001,0,PG-13,89,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Harold Becker,24,5.3,10778
"Monsters, Inc.",255870172,526864330,,115000000,02/11/2001,2001,0,G,95,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,David Silverman,95,7.4,39908
The One,43905746,43905746,,49000000,02/11/2001,2001,0,PG-13,87,Sony Pictures,Original Screenplay,Action,Science Fiction,James Wong,13,5.6,24416
Keeping it Real: The Adventures of Greg Walloch,1358,1358,,100000,09/11/2001,2001,0,Not Rated,,Avatar,,,,,,,
Heist,23483357,28483168,,35000000,09/11/2001,2001,0,R,109,New Line,Original Screenplay,Action,Contemporary Fiction,David Mamet,66,3.2,77
Shallow Hal,70836296,70836296,,40000000,09/11/2001,2001,0,PG-13,113,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,50,6,35878
The Wash,10097096,10097096,,4000000,14/11/2001,2001,0,R,,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,,8,3.6,3095
Harry Potter and the Sorcerer's Stone,317557891,976457891,,125000000,16/11/2001,2001,0,PG,152,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,,7.2,132238
Novocaine,2025238,2522928,,6000000,16/11/2001,2001,0,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,37,5.8,6233
Black Knight,33422806,33422806,,35000000,21/11/2001,2001,0,PG-13,96,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,,13,4.3,12747
Out Cold,13906394,13906394,,11000000,21/11/2001,2001,0,PG-13,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,8,5.8,7153
Spy Game,62362560,143049560,,90000000,21/11/2001,2001,0,R,126,Universal,Original Screenplay,Action,Contemporary Fiction,Tony Scott,65,6.9,44850
The Sidewalks of New York,2402459,3100834,,1000000,21/11/2001,2001,0,R,,Paramount Vantage,Original Screenplay,Comedy,Contemporary Fiction,Edward Burns,,,
In the Bedroom,35930604,43430604,,1700000,23/11/2001,2001,0,R,130,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Todd Field,93,7.5,20888
Behind Enemy Lines,58855732,58855732,,40000000,30/11/2001,2001,0,PG-13,106,20th Century Fox,Original Screenplay,Action,Historical Fiction,,36,6.1,32575
Texas Rangers,623374,623374,,38000000,30/11/2001,2001,0,PG-13,,Miramax,Based on Book/Short Story,Western,Historical Fiction,Steve Miner,,5,2645
No Man's Land,1067481,2684207,,1000000,07/12/2001,2001,0,R,,MGM,Original Screenplay,Drama,Historical Fiction,,93,8,19600
Ocean's Eleven,183417150,450728529,,110000000,07/12/2001,2001,0,PG-13,116,Warner Bros.,Remake,Comedy,Contemporary Fiction,Steven Soderbergh,81,7.6,139034
The Other Side of Heaven,4720371,4720371,,7000000,14/12/2001,2001,0,PG,,Excel Entertainment,Based on Book/Short Story,Drama,Dramatization,,,6.3,1670
Iris,5580479,15035827,,5500000,14/12/2001,2001,0,R,,Miramax,Based on Book/Short Story,Drama,Dramatization,,79,5.8,44
Not Another Teen Movie,37882551,62401343,,15000000,14/12/2001,2001,0,R,89,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,28,5.5,36678
The Royal Tenenbaums,52353636,71430876,,28000000,14/12/2001,2001,0,R,110,Walt Disney Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Wes Anderson,79,7.6,82349
Vanilla Sky,100614858,202726605,,70000000,14/12/2001,2001,0,R,136,Paramount Pictures,Remake,Thriller/Suspense,Contemporary Fiction,Cameron Crowe,39,6.9,87820
The Lord of the Rings: The Fellowship of the Ring,314776170,868621686,,109000000,19/12/2001,2001,0,PG-13,178,New Line,Based on Book/Short Story,Adventure,Fantasy,Peter Jackson,,8.8,387438
A Beautiful Mind,170708996,316708996,,78000000,21/12/2001,2001,0,PG-13,135,Universal,Based on Magazine Article,Drama,Dramatization,Ron Howard,78,8,126067
How High,31155435,31260435,,12000000,21/12/2001,2001,0,R,93,Universal,Original Screenplay,Comedy,Contemporary Fiction,,27,5.5,14470
Joe Somebody,22770864,24515990,,38000000,21/12/2001,2001,0,PG,98,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,John Pasquin,19,5.3,5313
The Majestic,27796042,37306334,,72000000,21/12/2001,2001,0,PG,153,Warner Bros.,Original Screenplay,Drama,Historical Fiction,Frank Darabont,41,6.8,24809
Jimmy Neutron: Boy Genius,80936232,102992536,,25000000,21/12/2001,2001,0,G,83,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,,5.9,5379
Ali,58183966,84383966,,109000000,25/12/2001,2001,0,R,159,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Michael Mann,67,6.6,31785
Kate and Leopold,47095453,70937778,,48000000,25/12/2001,2001,0,PG-13,118,Miramax,Original Screenplay,Romantic Comedy,Fantasy,James Mangold,,6.2,23600
The Shipping News,11405825,24405825,,35000000,25/12/2001,2001,0,R,,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Lasse Hallstrom,55,6.7,17338
Gosford Park,41300105,41300105,,18000000,26/12/2001,2001,0,R,137,USA Films,Original Screenplay,Comedy,Historical Fiction,Robert Altman,86,7.3,36648
Monster's Ball,31273922,44873922,,4000000,26/12/2001,2001,0,R,111,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,Marc Forster,85,7.2,38023
Black Hawk Down,108638745,173638745,970318,95000000,28/12/2001,2001,0,R,144,Sony Pictures,Based on Book/Short Story,Action,Dramatization,Ridley Scott,76,7.7,98653
I Am Sam,40270895,40270895,,22000000,28/12/2001,2001,0,PG-13,132,New Line,Original Screenplay,Drama,Contemporary Fiction,,34,7.4,36448
Impostor,6114237,6114237,,40000000,04/01/2002,2002,0,PG-13,,Miramax,Based on Book/Short Story,Thriller/Suspense,Science Fiction,,,6,9020
Orange County,41059716,43308707,,18000000,11/01/2002,2002,0,PG-13,82,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,47,6.1,23742
Snow Dogs,81150692,115010692,,32000000,18/01/2002,2002,0,PG,99,Walt Disney Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brian Levant,23,4.9,7561
The Count of Monte Cristo,54228104,54228104,,40000000,25/01/2002,2002,0,PG-13,131,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Kevin Reynolds,74,7.6,40605
Kung Pow: Enter the Fist,16033556,16033556,,10000000,25/01/2002,2002,0,PG-13,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,,5.7,19348
The Mothman Prophecies,35228696,54639865,,42000000,25/01/2002,2002,0,PG-13,119,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Science Fiction,,52,6.5,26948
Metropolis (2002),673414,673414,,15000000,25/01/2002,2002,0,PG-13,,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,,,,
A Walk to Remember,41227069,46060915,,11000000,25/01/2002,2002,0,PG,102,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Adam Shankman,28,7.1,38045
The Singles Ward,1250798,1250798,,500000,01/02/2002,2002,0,PG,,Halestorm Entertainment,Original Screenplay,Comedy,Contemporary Fiction,,50,5.7,736
Birthday Girl,4919896,8130727,,13000000,01/02/2002,2002,0,R,,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,6,13366
Slackers,4814244,4814244,,11000000,01/02/2002,2002,0,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,11,4.9,7934
Big Fat Liar,47811275,52375275,,15000000,08/02/2002,2002,0,PG,88,Universal,Original Screenplay,Comedy,Contemporary Fiction,Shawn Levy,43,5.2,9877
Collateral Damage,40048332,78353508,,85000000,08/02/2002,2002,0,R,109,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,,5.2,24358
Rollerball,18990542,25852508,,70000000,08/02/2002,2002,0,PG-13,,MGM,Remake,Action,Science Fiction,John McTiernan,3,2.8,13827
Crossroads,37188667,57000000,,12000000,15/02/2002,2002,0,PG-13,93,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,,14,6.6,4894
Hart's War,19076815,33076815,,70000000,15/02/2002,2002,0,R,,MGM,Based on Book/Short Story,Drama,Historical Fiction,,58,6.2,19541
John Q,71026631,102226631,,36000000,15/02/2002,2002,0,PG-13,116,New Line,Original Screenplay,Drama,Contemporary Fiction,Nick Cassavetes,22,6.6,32338
Last Orders,2326407,2326407,,12000000,15/02/2002,2002,0,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Contemporary Fiction,Fred Schepisi,,7,3463
Peter Pan: Return to Neverland,48430258,109862682,,20000000,15/02/2002,2002,0,G,72,Walt Disney Pictures,Based on Play,Adventure,Kids Fiction,,46,,
Super Troopers,18492362,23046142,,3000000,15/02/2002,2002,0,R,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Jay Chandrasekhar,,6.8,29514
Reign of Fire,43061982,82150183,,60000000,19/02/2002,2002,0,PG-13,102,Walt Disney Pictures,Original Screenplay,Action,Fantasy,,40,5.9,38414
Sex with Strangers,247740,247740,,1100000,22/02/2002,2002,0,Not Rated,,,Based on Real Life Events,Documentary,Factual,,39,5,151
Dragonfly,30063805,30063805,,60000000,22/02/2002,2002,0,PG-13,104,Universal,Original Screenplay,Drama,Fantasy,Tom Shadyac,7,5.8,14098
Mean Machine,92723,92723,,4500000,22/02/2002,2002,0,R,,,,,,,,6.3,12754
Monsoon Wedding,13876974,13876974,,1200000,22/02/2002,2002,0,R,,USA Films,Original Screenplay,Comedy,Contemporary Fiction,Mira Nair,,7.2,11314
Queen of the Damned,30307804,30307804,,35000000,22/02/2002,2002,0,R,101,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,,17,4.7,20268
The Calling,32092,32092,,160000,01/03/2002,2002,0,PG,,Testimony Pictures,Original Screenplay,Drama,Contemporary Fiction,Michael C. Brown,,3.4,1113
40 Days and 40 Nights,37939782,95092667,,17000000,01/03/2002,2002,0,R,96,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Michael Lehmann,38,5.4,27912
We Were Soldiers,78120196,114658262,,70000000,01/03/2002,2002,0,R,138,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,,62,6.9,42580
Men with Brooms,4239767,4239767,,7500000,08/03/2002,2002,0,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,63,5.8,2559
All About the Benjamins,25482931,25873145,,14000000,08/03/2002,2002,0,R,95,New Line,Original Screenplay,Comedy,Contemporary Fiction,Kevin Bray,29,5.3,4366
The Time Machine,56684819,98983590,,80000000,08/03/2002,2002,0,PG-13,96,Dreamworks SKG,Based on Book/Short Story,Adventure,Science Fiction,,28,5.6,32465
Kissing Jessica Stein,7025722,8915268,,1500000,13/03/2002,2002,0,R,,Fox Searchlight,Based on Play,Romantic Comedy,Contemporary Fiction,,,6.8,8291
Ice Age,176387405,383257136,,65000000,15/03/2002,2002,0,PG,81,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,Chris Wedge,77,7.4,75552
Resident Evil,40119709,103787401,,35000000,15/03/2002,2002,0,R,100,Sony Pictures,Based on Game,Horror,Science Fiction,Paul Anderson,34,6.4,68342
Showtime,37948765,78948765,,85000000,15/03/2002,2002,0,PG-13,95,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Dey,24,5.3,22128
Y Tu Mama Tambien (And Your Mother Too),13649881,33649881,,5000000,15/03/2002,2002,0,R,,IFC Films,Original Screenplay,Drama,Contemporary Fiction,Alfonso Cuaron,,,
Blade 2,81676888,154338601,,54000000,22/03/2002,2002,0,R,117,New Line,Based on Comic/Graphic Novel,Action,Super Hero,Guillermo Del Toro,,5.5,90
Sorority Boys,10198766,12516222,,12000000,22/03/2002,2002,0,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,13,5.1,7392
Stolen Summer,119841,119841,,1500000,22/03/2002,2002,0,PG,,Miramax,,,,,35,6.4,1733
Clockstoppers,36985501,38788828,,26000000,29/03/2002,2002,0,PG,94,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Jonathan Frakes,28,5,6392
Panic Room,95308367,196308367,,48000000,29/03/2002,2002,0,R,112,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,76,6.9,68737
The Rookie,75600072,80693537,,22000000,29/03/2002,2002,0,G,128,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,82,5.5,8453
Death to Smoochy,8355815,8374062,,50000000,29/03/2002,2002,0,R,,Warner Bros.,Original Screenplay,Black Comedy,Contemporary Fiction,Danny De Vito,42,6.2,22379
The Last Waltz,321952,321952,,35000,05/04/2002,2002,0,Not Rated,,MGM,,,,,,8,6893
Big Trouble,7262288,8488871,,45000000,05/04/2002,2002,0,PG-13,,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Barry Sonnenfeld,48,6.3,11610
High Crimes,41543207,63781100,,42000000,05/04/2002,2002,0,PG-13,115,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Carl Franklin,31,6.1,14428
Lucky Break,54606,54606,,6000000,05/04/2002,2002,0,PG-13,,Paramount Pictures,,,,Peter Cattaneo,,6.1,1482
National Lampoon's Van Wilder,21005329,37975553,,6000000,05/04/2002,2002,0,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,,,
Frailty,13110448,17423030,,11000000,12/04/2002,2002,0,R,,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,74,7.3,27629
Changing Lanes,66790248,66790248,,45000000,12/04/2002,2002,0,R,99,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,77,6.5,29222
The Sweetest Thing,24430272,44633441,,43000000,12/04/2002,2002,0,R,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Roger Kumble,25,4.7,23378
Nine Queens,1222889,12412889,,1500000,19/04/2002,2002,0,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,,,
My Big Fat Greek Wedding,241438208,368744044,,5000000,19/04/2002,2002,0,PG,95,IFC Films,Based on Play,Romantic Comedy,Contemporary Fiction,Joel Zwick,75,6.6,46548
Murder by Numbers,31874869,56643267,,50000000,19/04/2002,2002,0,R,120,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Barbet Schroeder,31,5.9,22318
The Scorpion King,90580000,164529000,,60000000,19/04/2002,2002,0,PG-13,91,Universal,Spin-Off,Action,Fantasy,Chuck Russell,40,5.3,30359
Jason X,13121555,16951798,,14000000,26/04/2002,2002,0,R,,New Line,,Horror,Contemporary Fiction,,21,4.4,17964
"Life, or Something Like It",14448589,14448589,,40000000,26/04/2002,2002,0,PG-13,,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Stephen Herek,,,
The Salton Sea,676698,676698,,18000000,26/04/2002,2002,0,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,63,7.1,16415
Deuces Wild,6044618,6044618,,10000000,03/05/2002,2002,0,R,,MGM,Original Screenplay,Drama,Historical Fiction,,3,5.3,4010
Hollywood Ending,4839383,14839383,,16000000,03/05/2002,2002,0,PG-13,,Dreamworks SKG,Original Screenplay,Romantic Comedy,Contemporary Fiction,Woody Allen,46,6.3,10486
Spider-Man,403706375,821708551,,139000000,03/05/2002,2002,0,PG-13,121,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,89,7.4,167524
Unfaithful,52752475,119114494,,50000000,08/05/2002,2002,0,R,123,20th Century Fox,Remake,Drama,Contemporary Fiction,Adrian Lyne,48,6.6,23998
The Business of Fancy Dancing,174682,174682,,200000,10/05/2002,2002,0,Not Rated,,Outrider Pictures,Original Screenplay,Drama,Contemporary Fiction,,,7,355
Hybrid,162605,162605,,200000,10/05/2002,2002,0,Not Rated,,Indican Pictures,Based on Real Life Events,Documentary,Factual,,,2.2,380
The New Guy,28972187,28972187,,13000000,10/05/2002,2002,0,PG-13,88,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,7,5.4,14268
Star Wars Ep. II: Attack of the Clones,310676740,656695615,,115000000,16/05/2002,2002,0,PG,142,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,
About a Boy,40803000,129949664,,27000000,17/05/2002,2002,0,PG-13,101,Universal,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Paul Weitz,93,7.4,48875
Harvard Man,56653,56653,,5500000,17/05/2002,2002,0,R,,,,Drama,,,,4.9,2758
The Importance of Being Earnest,8378141,8378141,,15000000,22/05/2002,2002,0,PG,,Miramax,Based on Play,Comedy,Historical Fiction,,58,6.7,9345
Thirteen Conversations About One Thing,3287435,3705923,,3000000,24/05/2002,2002,0,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,,7.1,6188
Enough,39177215,39177215,,38000000,24/05/2002,2002,0,PG-13,115,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Apted,21,6.5,92
Insomnia,67263182,113622499,,46000000,24/05/2002,2002,0,R,118,Warner Bros.,Remake,Thriller/Suspense,Contemporary Fiction,Christopher Nolan,92,6.3,33
Spirit: Stallion of the Cimarron,73215310,106515310,,80000000,24/05/2002,2002,0,G,84,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Kelly Asbury,,6.6,8622
Elling,313436,313436,,2100000,29/05/2002,2002,0,R,,,,,,,,7.5,7114
The Sum of All Fears,118471320,193500000,,68000000,31/05/2002,2002,0,PG-13,124,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phil Alden Robinson,59,6.3,38586
Undercover Brother,38230435,38230435,,25000000,31/05/2002,2002,0,PG-13,86,Universal,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,76,5.7,14237
Bad Company,30157016,69157016,,70000000,07/06/2002,2002,0,PG-13,117,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Joel Schumacher,10,5.3,17901
The Divine Secrets of the Ya-Ya Sisterhood,69586544,73826768,,27000000,07/06/2002,2002,0,PG-13,116,Warner Bros.,Based on Book/Short Story,Comedy,Contemporary Fiction,,,,
The Dangerous Lives of Altar Boys,1779284,1779284,,12000000,14/06/2002,2002,0,R,,ThinkFilm,Based on Book/Short Story,Drama,Contemporary Fiction,,77,6.9,7943
The Bourne Identity,121468960,213300000,,60000000,14/06/2002,2002,0,PG-13,110,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Doug Liman,82,7.7,122597
Scooby-Doo,153294164,276294164,,84000000,14/06/2002,2002,0,PG,86,Warner Bros.,Based on TV,Comedy,Kids Fiction,Raja Gosnell,28,4.7,26018
Windtalkers,40914068,77628265,,115000000,14/06/2002,2002,0,R,134,MGM,Original Screenplay,Action,Historical Fiction,John Woo,32,5.8,26421
Juwanna Man,13571817,13771817,,15600000,21/06/2002,2002,0,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,,4.1,3062
Lilo & Stitch,145771527,245800000,,80000000,21/06/2002,2002,0,PG,85,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,,7.1,25611
Minority Report,132024714,358824714,,102000000,21/06/2002,2002,0,PG-13,145,20th Century Fox,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,91,7.7,135142
Sunshine State,3064356,3064356,,5600000,21/06/2002,2002,0,PG-13,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,John Sayles,80,6.8,2769
Hey Arnold! The Movie,13684949,13684949,,10000000,28/06/2002,2002,0,PG,,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,30,5.3,1629
Mr. Deeds,126293452,171269535,,50000000,28/06/2002,2002,0,PG-13,96,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,,22,5.5,39756
Lovely and Amazing,4210379,4695781,,250000,28/06/2002,2002,0,R,,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,,,6.8,3936
Like Mike,51432423,62432423,,30000000,03/07/2002,2002,1,PG,99,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,John Schultz,56,4.4,4870
Men in Black 2,190418803,441818803,,140000000,03/07/2002,2002,1,PG-13,88,Sony Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,Barry Sonnenfeld,,7.4,467
The Powerpuff Girls,11411644,16425701,,25000000,03/07/2002,2002,1,PG,,Warner Bros.,Based on TV,Adventure,Super Hero,,,5.9,3234
Crocodile Hunter: Collision Course,28436931,33436931,,12500000,12/07/2002,2002,1,PG,90,MGM,Based on TV,Comedy,Contemporary Fiction,,,,
Halloween: Resurrection,30259652,37659652,,15000000,12/07/2002,2002,1,R,89,Miramax/Dimension,,Horror,Contemporary Fiction,Rick Rosenthal,,3.9,13181
Never Again,307631,307631,,500000,12/07/2002,2002,1,R,,,,Romantic Comedy,,,,5.8,511
The Road to Perdition,104054514,181054514,,80000000,12/07/2002,2002,1,R,117,Dreamworks SKG,Based on Comic/Graphic Novel,Drama,Historical Fiction,Sam Mendes,,,
Eight Legged Freaks,17266505,17266505,,30000000,17/07/2002,2002,1,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,47,5.4,18173
Ayurveda: Art of Being,16892,2066892,,300000,19/07/2002,2002,1,Not Rated,,Kino International,,Documentary,Factual,,,7.3,181
K-19: The Widowmaker,35168966,65716126,,90000000,19/07/2002,2002,1,PG-13,138,Paramount Pictures,Based on Book/Short Story,Action,Dramatization,Kathryn Bigelow,61,6.5,22288
Stuart Little 2,64956806,166000000,,120000000,19/07/2002,2002,1,PG,78,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Rob Minkoff,83,5.6,7534
Tadpole,2891288,3200241,,150000,19/07/2002,2002,1,PG-13,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Gary Winick,78,6.1,3800
Austin Powers in Goldmember,213117789,292738626,,63000000,25/07/2002,2002,1,PG-13,94,New Line,Original Screenplay,Comedy,Science Fiction,Jay Roach,54,6.2,69140
The Country Bears,16988996,16988996,,20000000,26/07/2002,2002,1,G,,Walt Disney Pictures,Disney Ride,Adventure,Kids Fiction,,27,3.8,2021
The Master of Disguise,40363530,40363530,,16000000,02/08/2002,2002,1,PG,80,Sony Pictures,Original Screenplay,Comedy,Kids Fiction,,2,3,10050
Full Frontal,2512846,3438804,,2000000,02/08/2002,2002,1,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Steven Soderbergh,37,4.8,6660
Martin Lawrence Live: RunTelDat,19184820,19184820,,3000000,02/08/2002,2002,1,R,,Paramount Pictures,Based on Real Life Events,Concert/Performance,Factual,,,4.9,1166
Signs,227965690,408265690,,70702619,02/08/2002,2002,1,PG-13,106,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,74,6.9,111561
The Good Girl,14018296,15976468,,8000000,07/08/2002,2002,1,R,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,,81,6.6,21460
Spy Kids 2: The Island of Lost Dreams,85846296,119721296,,38000000,07/08/2002,2002,1,PG,100,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,75,,
Pandora's Box,881950,881950,,800000,09/08/2002,2002,1,R,,Kino International,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,4.6,386
Blood Work,26199517,26199517,,50000000,09/08/2002,2002,1,R,110,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Clint Eastwood,54,6.3,16751
xXx,141930000,267200000,,70000000,09/08/2002,2002,1,PG-13,124,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,48,5.5,52636
Blue Crush,40118420,51327420,,30000000,16/08/2002,2002,1,PG-13,105,Universal,Based on Magazine Article,Drama,Contemporary Fiction,,62,5.5,11699
The Adventures of Pluto Nash,4411102,7094995,,100000000,16/08/2002,2002,1,PG-13,,Warner Bros.,Original Screenplay,Comedy,Science Fiction,,6,3.7,9207
Possession,10103647,14805812,,25000000,16/08/2002,2002,1,PG-13,,Focus Features,Based on Book/Short Story,Drama,Contemporary Fiction,Neil LaBute,64,6.4,6789
One Hour Photo,31597131,52223306,,12000000,21/08/2002,2002,1,R,96,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,,81,7,42134
Serving Sara,16930185,20146150,,29000000,23/08/2002,2002,1,PG-13,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,5,5,7973
Undisputed,12398628,12398628,,20000000,23/08/2002,2002,1,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Walter Hill,49,5.8,6837
FearDotCom,13208023,13208023,,40000000,30/08/2002,2002,1,R,,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,William Malone,,3.1,11438
City by the Sea,22433915,22433915,,40000000,06/09/2002,2002,1,R,,Warner Bros.,Based on Magazine Article,Drama,Contemporary Fiction,Michael Caton-Jones,48,6.1,13487
Swimfan,28563926,28563926,,10000000,06/09/2002,2002,1,PG-13,86,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,,15,4.6,9577
Betty Fisher et autres histoires,206400,206400,,7500000,13/09/2002,2002,1,Not Rated,,WellSpring,Based on Book/Short Story,Drama,,,,6.9,1054
Barbershop,75781642,77081642,,12000000,13/09/2002,2002,1,PG-13,103,MGM,Original Screenplay,Comedy,Contemporary Fiction,Tim Story,82,6.2,11164
Igby Goes Down,4777465,4777465,,9000000,13/09/2002,2002,1,R,,MGM,Original Screenplay,Comedy,Contemporary Fiction,,76,7,19050
Stealing Harvard,13973532,13973532,,25000000,13/09/2002,2002,1,PG-13,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,8,4.7,6899
Eye See You,79161,1807990,,55000000,20/09/2002,2002,1,Not Rated,,,,,,,,5.1,397
The Four Feathers,18306166,29882645,,35000000,20/09/2002,2002,1,PG-13,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Shekhar Kapur,41,6.3,13204
8 femmes,3076425,42376425,,8000000,20/09/2002,2002,1,R,,Focus Features,Based on Play,Musical,Contemporary Fiction,,,7,13631
The Banger Sisters,30306281,38067218,,10000000,20/09/2002,2002,1,R,98,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,47,5.5,7435
Ballistic: Ecks vs. Sever,14294842,14294842,,70000000,20/09/2002,2002,1,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,,,3.4,11112
Spirited Away,10049886,274949886,,19000000,20/09/2002,2002,1,PG,,Walt Disney Pictures,Original Screenplay,Adventure,Fantasy,Hayao Miyazaki,,,
Trapped,6916869,6916869,,30000000,20/09/2002,2002,1,R,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,18,6,10685
